No Urut APPD,Tema Pengawasan,ESG Relevance,SDGs Relevance,IFC Performance Standards,OJK Relevance,GRI Standards,Key Insights
1,Pengawasan atas Program Pengembangan Perikanan Budidaya,Very Relevant,Very Relevant,PS6 (Biodiversity),Very Relevant,"GRI 201, 203, 304","Supports SDG 2, 8, 12, 14; ESG: E (resource use, biodiversity), S (community livelihood); Focus on sustainable fisheries development and community empowerment"
2,Pengawasan atas Ketersediaan Pupuk Non-Subsidi dalam Mendukung Program Ketahanan Pangan,Very Relevant,Very Relevant,PS3 (Resource Efficiency),Very Relevant,"GRI 301, 302, 306","Supports SDG 2, 12; ESG: E (input efficiency), S (farmer welfare); Focus on agricultural resource management and food security"
3,Pengawasan atas Program Dukungan Daerah terhadap Destinasi Pariwisata Super Prioritas (DPSP) Danau Toba,Very Relevant,Very Relevant,"PS6, PS7",Very Relevant,"GRI 203, 413","Supports SDG 8, 12, 15; ESG: E (conservation), S (community jobs); Focus on sustainable tourism development"
4,Pengawasan atas Layanan Rumah Sakit Bertaraf Internasional di Medan,Mildly Relevant,Very Relevant,"PS2, PS3, PS6",Very Relevant,"GRI 403, 404, 413","Supports SDG 3, 12; ESG: S (health access, labor); Focus on healthcare infrastructure and service quality"
5,Pengawasan atas Pengembangan Industri Pariwisata Berkelas Dunia Geopark Gunung Talang,Very Relevant,Very Relevant,"PS6, PS7",Very Relevant,"GRI 203, 304, 413","Supports SDG 8, 12, 15; ESG: E (conservation), S (community jobs); Focus on sustainable tourism and geopark development"
6,Pengawasan atas Program Mencetak 100 Ribu Millenial Enterpreneur dan Women Enterpreneur,Very Relevant,Very Relevant,PS2,Very Relevant,"GRI 405, 406, 413","Supports SDG 5, 8, 10; ESG: S (gender, inclusion), G (entrepreneurship); Focus on youth and women entrepreneurship"
7,Pengawasan atas Pembangunan Kawasan Strategis Pariwisata Nasional Pulau Rupat,Very Relevant,Very Relevant,"PS1, PS6, PS7",Very Relevant,"GRI 203, 304, 413","Supports SDG 8, 9, 11; ESG: E (infrastructure, conservation), S (community); Focus on sustainable tourism infrastructure"
8,Pengawasan atas Pembangunan Kawasan Industri Tenayan (KIT),Very Relevant,Very Relevant,"PS3, PS4, PS6",Very Relevant,"GRI 203, 302, 305","Supports SDG 8, 9, 12; ESG: E (industrial impact), S (jobs), G (governance); Focus on sustainable industrial development"
9,Pengawasan atas Pembangunan Pelabuhan Ujung Jabung,Mildly Relevant,Mildly Relevant,"PS1, PS3",Mildly Relevant,GRI 203,"Supports SDG 9, 11; ESG: E (infrastructure), S (jobs); Focus on port infrastructure development"
10,Pengawasan atas Pemberdayaan Suku Anak Dalam,Very Relevant,Very Relevant,"PS7, PS2",Very Relevant,"GRI 411, 413","Supports SDG 1, 10, 16; ESG: S (inclusion, indigenous rights), G (community governance); Focus on indigenous community development"
11,Pengawasan atas Program Penanganan Kebakaran Hutan dan Lahan,Very Relevant,Very Relevant,"PS6, PS3",Very Relevant,"GRI 304, 305, 413","Supports SDG 13, 15; ESG: E (environmental protection), S (community resilience); Focus on forest conservation and fire prevention"
12,Pengawasan atas Program Smart Village,Very Relevant,Very Relevant,"PS2, PS4",Very Relevant,"GRI 203, 413","Supports SDG 9, 11; ESG: S (digital inclusion), G (smart governance); Focus on rural digital transformation"
13,Pengawasan atas Program Kartu Petani Berjaya (KPB),Very Relevant,Very Relevant,"PS2, PS3",Very Relevant,"GRI 203, 413","Supports SDG 1, 2, 8; ESG: S (farmer welfare), G (agricultural governance); Focus on farmer empowerment and agricultural development"
14,Pengawasan atas Peran Jakarta Investment Center (JIC) dalam Peningkatan Investasi,Very Relevant,Very Relevant,"PS1, PS2",Very Relevant,"GRI 201, 203","Supports SDG 8, 9, 17; ESG: G (investment governance), S (economic growth); Focus on investment facilitation and economic development"
15,Pengawasan atas Program Kartu Jakarta Mahasiswa Unggul,Very Relevant,Very Relevant,PS2,Very Relevant,"GRI 203, 413","Supports SDG 4, 8, 10; ESG: S (education access), G (education governance); Focus on higher education accessibility"
16,Pengawasan atas Peran BUMD Migas dalam Kontribusi kepada Pembangunan,Very Relevant,Very Relevant,"PS3, PS6",Very Relevant,"GRI 201, 302, 305","Supports SDG 7, 8, 13; ESG: E (energy), G (governance), S (community development); Focus on sustainable energy development"
17,Pengawasan atas Optimalisasi PAD Sektor Jalan Tol,Very Relevant,Very Relevant,"PS1, PS3",Very Relevant,"GRI 201, 203","Supports SDG 9, 11; ESG: G (revenue governance), E (infrastructure); Focus on sustainable infrastructure financing"
18,Pengawasan atas Program Bantuan Stimulan Perumahan Swadaya,Very Relevant,Very Relevant,"PS2, PS4",Very Relevant,"GRI 203, 413","Supports SDG 1, 11; ESG: S (housing access), G (housing governance); Focus on affordable housing development"
19,Pengawasan atas Pengembangan Kawasan Industri Terpadu Batang,Very Relevant,Very Relevant,"PS3, PS6",Very Relevant,"GRI 203, 302, 305","Supports SDG 8, 9, 12; ESG: E (industrial sustainability), S (job creation); Focus on sustainable industrial development"
20,Pengawasan atas Pemanfaatan Informasi Geospasial,Very Relevant,Very Relevant,"PS1, PS6",Very Relevant,"GRI 203, 304","Supports SDG 11, 15; ESG: E (environmental planning), G (spatial governance); Focus on sustainable spatial planning"
21,Pengawasan atas Perijinan Lahan,Very Relevant,Very Relevant,"PS6, PS1",Very Relevant,"GRI 304, 307","Supports SDG 15, 16; ESG: E (land use), G (licensing governance); Focus on sustainable land management"
22,Pengawasan atas Program Pengelolaan Perhutanan Sosial,Very Relevant,Very Relevant,"PS6, PS7",Very Relevant,"GRI 304, 413","Supports SDG 1, 15; ESG: E (forest management), S (community forestry); Focus on social forestry and community empowerment"
23,Pengawasan atas Pengelolaan OPAD BPHTB atas HGU Perkebunan,Very Relevant,Very Relevant,"PS1, PS6",Very Relevant,"GRI 201, 304","Supports SDG 8, 15; ESG: G (revenue governance), E (land use); Focus on sustainable plantation management"
24,Pengawasan atas Program Peningkatan Produktivitas Pertanian,Very Relevant,Very Relevant,"PS3, PS6",Very Relevant,"GRI 203, 304","Supports SDG 2, 12; ESG: E (agricultural sustainability), S (farmer welfare); Focus on sustainable agriculture"
25,Pengawasan atas Bantuan Keuangan Khusus Dana Keistimewaan DIY,Very Relevant,Very Relevant,"PS1, PS7",Very Relevant,"GRI 203, 413","Supports SDG 11, 16; ESG: G (financial governance), S (cultural preservation); Focus on special region development"
26,Pengawasan atas Pengelolaan Sampah Terpadu Piyungan,Very Relevant,Very Relevant,"PS3, PS4",Very Relevant,"GRI 306, 413","Supports SDG 11, 12; ESG: E (waste management), S (community health); Focus on integrated waste management"
27,Pengawasan atas Program One Pesantren One Product,Very Relevant,Very Relevant,"PS2, PS4",Very Relevant,"GRI 203, 413","Supports SDG 1, 8; ESG: S (economic empowerment), G (institutional development); Focus on Islamic economic development"
28,Pengawasan atas Pengembangan Ekonomi Kerakyatan,Very Relevant,Very Relevant,"PS2, PS4",Very Relevant,"GRI 203, 413","Supports SDG 1, 8, 10; ESG: S (economic inclusion), G (cooperative governance); Focus on people's economy development"
29,Pengawasan atas Percepatan Pembangunan Kawasan Ekonomi Perbatasan,Very Relevant,Very Relevant,"PS1, PS7",Very Relevant,"GRI 203, 413","Supports SDG 8, 10; ESG: S (border community), G (regional development); Focus on border area development" 